店舗名,住所,電話番号,HP,詳細URL
豚美 福島店（トンビ）,大阪府 大阪市福島区 福島 5-14-8,050-5868-5931,https://www.ton-bi.jp/,https://tabelog.com/osaka/A2701/A270108/27002380/
寿司 赤酢 如水,大阪府 大阪市福島区 福島 3-8-19 1F,050-5594-9544,https://sushiakazu.com,https://tabelog.com/osaka/A2701/A270108/27144244/
Akami Modern Chop House（アカミ モダン チョップハウス）,大阪府 大阪市福島区 福島 1-1-48 堂島クロスウォーク 1F,050-5593-3997,https://lit.link/akamimodernchophouse,https://tabelog.com/osaka/A2701/A270108/27096329/
海鮮創作 くり木,大阪府 大阪市福島区 福島 1-3-16,050-5600-8143,,https://tabelog.com/osaka/A2701/A270108/27137144/
カニとフグの専門店 福島かにふぐ家,大阪府 大阪市福島区 福島 7-21-7,050-5570-6377,,https://tabelog.com/osaka/A2701/A270108/27081033/
福島 もう利,大阪府 大阪市福島区 福島 6-17-7 オアシス梅田　1F,050-5590-6126,http://f-mohri.jp,https://tabelog.com/osaka/A2701/A270108/27061679/
魚屋 十忠八九,大阪府 大阪市福島区 福島 7-2-6 ふくまる通り57,06-6455-6611,https://lit.link/10chu89,https://tabelog.com/osaka/A2701/A270108/27077333/
三代目 脇彦商店 本店,大阪府 大阪市福島区 福島 2-10-22 ダイワシティー福島 1F,050-5596-2846,,https://tabelog.com/osaka/A2701/A270108/27106765/
韓国料理 パダ589,大阪府 大阪市福島区 野田 2-2-17 1F,050-5590-6161,,https://tabelog.com/osaka/A2701/A270108/27131313/
すみび焼肉　Da,大阪府 大阪市福島区 福島 7-8-3 福本ビル 3F,050-5570-1004,,https://tabelog.com/osaka/A2701/A270108/27123777/
食楽 成泰,大阪府 大阪市福島区 大開 1-13-2 西野ハイツ 1F,050-5456-8663,,https://tabelog.com/osaka/A2701/A270108/27148072/
わら焼 鉄板焼 いやさか,大阪府 大阪市福島区 福島 7-7-3,050-5594-7674,https://www.iyasakanetshop.com/,https://tabelog.com/osaka/A2701/A270108/27101627/
福島 はーばーど（【旧店名】福島らむね）,大阪府 大阪市福島区 福島 5-5-6 福島テラス 1F,050-5600-4993,https://www.opefac.com/restaurant/f_harbird/,https://tabelog.com/osaka/A2701/A270108/27135136/
Sake Pairing Bar ぽたん,大阪府 大阪市福島区 福島 2-7-24 NANEI福島ビル 4F,050-5596-3595,https://potan.jp/potan,https://tabelog.com/osaka/A2701/A270108/27147739/
海鮮酒場はたはた 福島本店（【旧店名】ごんざ）,大阪府 大阪市福島区 福島 5-12-23 藤永ビル 2F,050-5571-5124,,https://tabelog.com/osaka/A2701/A270108/27011108/
五味五感 丸力酒蔵 福島本通り店,大阪府 大阪市福島区 福島 3-12-6 レジーナ福島 1F,050-5593-9262,,https://tabelog.com/osaka/A2701/A270108/27142531/
お酒とイタリやん,大阪府 大阪市福島区 福島 1-5-10,050-5593-1289,,https://tabelog.com/osaka/A2701/A270108/27140807/
串かつ場ぁ 聖天堂 福島本店,大阪府 大阪市福島区 福島 8-19-19 1F,050-5868-9048,,https://tabelog.com/osaka/A2701/A270108/27059277/
Xsix（クシ）,大阪府 大阪市福島区 福島 3-8-10,050-5868-0984,http://www.xsix.jp/,https://tabelog.com/osaka/A2701/A270108/27057725/
YAKINIKUEN 忍鬨 野田駅前店（にんぐ）,大阪府 大阪市福島区 吉野 3-6-3,050-5595-2653,,https://tabelog.com/osaka/A2701/A270108/27144261/
JUTURNA（ユトゥルナ）,大阪府 大阪市福島区 福島 1-1-17 堂島リバーフォーラム2Ｆ,050-5456-7284,http://juturna.asia/,https://tabelog.com/osaka/A2701/A270108/27084273/
黒毛和牛とタンとハラミ 焼肉ごりちゃん 福島店,大阪府 大阪市福島区 福島 5-8-14 吉紹ビル 7F,050-5589-5224,https://www.tiktok.com/tag/%E7%84%BC%E8%82%89%E3%81%94%E3%82%8A%E3%81%A1%E3%82%83%E3%82%93%E7%A6%8F%E5%B3%B6%E5%BA%97?lang=ja-JP,https://tabelog.com/osaka/A2701/A270108/27130478/
立ち飲み あたりや食堂  福島店,大阪府 大阪市福島区 福島 5-14-8 山本ビル 1F,050-5456-1443,https://atariyashokudo.shinanotei.jp/fukushima/,https://tabelog.com/osaka/A2701/A270108/27119157/
立呑み焼きとん  大森商店,大阪府 大阪市福島区 福島 5-13-18 福島ビル 1F,050-5590-6302,,https://tabelog.com/osaka/A2701/A270108/27138272/
魚China YO（ウオチャイナ ヨウ）,大阪府 大阪市福島区 福島 7-4-25 1F,06-6455-5888,https://www.eat-quest.com/,https://tabelog.com/osaka/A2701/A270108/27085437/
焼肉屋 KEIZO（ケイゾー）,大阪府 大阪市福島区 福島 2-8-10,050-5590-8880,https://yakinikuya-keizo.jp,https://tabelog.com/osaka/A2701/A270108/27138292/
ニューブンゴ 福島本店（【旧店名】焼肉ホルモン ブンゴ 福島店）,大阪府 大阪市福島区 福島 7-11-51,050-5872-5830,,https://tabelog.com/osaka/A2701/A270108/27121127/
おでんや三徳六味 福島２号店,大阪府 大阪市福島区 福島 5-11-5,050-5596-3594,,https://tabelog.com/osaka/A2701/A270108/27147734/
フランス料理と醸造酒 Nuage Japon,大阪府 大阪市福島区 福島 5-6-13 1F,050-5600-9618,,https://tabelog.com/osaka/A2701/A270108/27100776/
蒸っ酒 ぽっぽ,大阪府 大阪市福島区 福島 7-2-2,050-5600-4977,https://poppo-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27123795/
ff（フォルティッシモ）,大阪府 大阪市福島区 福島 7-8-8,050-5872-6927,https://www.fortissimo1211.com,https://tabelog.com/osaka/A2701/A270108/27121725/
犬鳴豚居酒屋 すもぉ～き～,大阪府 大阪市福島区 福島 2-2-23,050-5456-7342,https://inunakipork-smoky-fukushima.foodre.jp,https://tabelog.com/osaka/A2701/A270108/27075178/
鮨げん家 はなれ,大阪府 大阪市福島区 福島 1-2-35,050-5589-6243,https://sushi-genya.co.jp,https://tabelog.com/osaka/A2701/A270108/27130683/
牛鍋とそば のぶ,大阪府 大阪市福島区 福島 7‐6‐6 黒田ビル2号館,050-5594-9565,https://nabenobu.jp/?_src=tabelog,https://tabelog.com/osaka/A2701/A270108/27144690/
エイトミート 福島店（Eight Meat）,大阪府 大阪市福島区 福島 7-2-12 2F,050-5595-8145,,https://tabelog.com/osaka/A2701/A270108/27102160/
和牛料理 一石三鳥,大阪府 大阪市福島区 福島 3-5-19 N3フクシマ 3F,050-5589-6698,https://lin.ee/MSNXpVs,https://tabelog.com/osaka/A2701/A270108/27130497/
醸造 uchiyamada,大阪府 大阪市福島区 福島 1-4-4 セントラル70B1,050-5570-9390,,https://tabelog.com/osaka/A2701/A270108/27072296/
鮨処 一石三鳥 大阪,大阪府 大阪市福島区 福島 2-6‐20,050-5456-2057,,https://tabelog.com/osaka/A2701/A270108/27148364/
ワイングラース Wine&Dining（Wine Grace Wine & Dining）,大阪府 大阪市福島区 福島 5-11-7,050-5456-4482,http://wine-grace.com/,https://tabelog.com/osaka/A2701/A270108/27084164/
我流 総本家,大阪府 大阪市福島区 福島 7-2-8,050-5869-2172,,https://tabelog.com/osaka/A2701/A270108/27058819/
やきとり 武（たけ）,大阪府 大阪市福島区 福島 5-13-2 福島Marubld 2F,06-6346-0575,,https://tabelog.com/osaka/A2701/A270108/27088866/
鉄板串焼酒場 串and...,大阪府 大阪市福島区 福島 5-11-23 福島駅前ビル 2F,050-5593-9933,,https://tabelog.com/osaka/A2701/A270108/27142282/
焼肉ホルモンまるよし精肉店 新福島店,大阪府 大阪市福島区 福島 2-6-8,050-5589-7727,https://maruyoshi-seiniku.com/shinfukushima/,https://tabelog.com/osaka/A2701/A270108/27130747/
中国料理 香虎,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神大阪 3F,050-5589-5380,https://www.hankyu-hotel.com/hotel/hs/hanshin/contents/restaurants/xiang-hu,https://tabelog.com/osaka/A2701/A270108/27054632/
タイ政府公認 タイ料理 アロイチンチン,大阪府 大阪市福島区 福島 2-3-3,050-5457-1928,,https://tabelog.com/osaka/A2701/A270108/27097005/
Spanish Bar El Cortador（スペイン バル エル　コルタドール）,大阪府 大阪市福島区 福島 7-8-6 中村ビル 1F,050-5596-7664,http://cortador.net/,https://tabelog.com/osaka/A2701/A270108/27151311/
臥薪 大阪本店,大阪府 大阪市福島区 福島 1-7-1,050-5457-2238,,https://tabelog.com/osaka/A2701/A270108/27108530/
NightMarket（ナイトマーケット）,大阪府 大阪市福島区 福島 7-22-13,050-5890-3680,https://www.nightmarket-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27019056/
もじお 福島店,大阪府 大阪市福島区 福島 5-12-20,050-5456-7964,,https://tabelog.com/osaka/A2701/A270108/27142299/
コリア タッカンマリ 大阪福島店,大阪府 大阪市福島区 福島 5-8-14 福島吉紹ビル 2F,050-5596-9233,https://www.dakhanmari.com/,https://tabelog.com/osaka/A2701/A270108/27138414/
日本酒と焼鳥 百 福島店（momo）,大阪府 大阪市福島区 福島 1-6-10 パールスタイル福島 1F,050-5592-5556,https://www.instagram.com/nihonshu.yakitori.momo/?hl=ja,https://tabelog.com/osaka/A2701/A270108/27093632/
鶏屋はっぽんめ 野田店,大阪府 大阪市福島区 大開 1-14-4,050-5596-3473,,https://tabelog.com/osaka/A2701/A270108/27130594/
オールデイダイニング リモネ(リーガロイヤルホテル大阪)（All Day Dining REMONE）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション ウエストウイング 1F,050-5868-2981,https://www.rihga.co.jp/osaka/restaurant/list/remone,https://tabelog.com/osaka/A2701/A270108/27058527/
ノマンマイカ,大阪府 大阪市福島区 福島 3-11-25,050-5456-1464,,https://tabelog.com/osaka/A2701/A270108/27134743/
VELVET VIRGO,大阪府 大阪市福島区 福島 5-6-6,050-5570-5160,,https://tabelog.com/osaka/A2701/A270108/27074248/
福島酒場,大阪府 大阪市福島区 福島 5-9-15 正和ビル 1F,050-5593-4461,,https://tabelog.com/osaka/A2701/A270108/27113904/
炭火焼鳥 鉄カブト,大阪府 大阪市福島区 吉野 2-13-7,050-5594-9394,http://tetsukabuto.info,https://tabelog.com/osaka/A2701/A270108/27104621/
とくちゃん 野田店,大阪府 大阪市福島区 吉野 2-3-9,050-5592-8332,https://tokuchan-yakiniku.com/,https://tabelog.com/osaka/A2701/A270108/27139481/
ビストロ テソロン ウナ ベッコ（BISTRO tesoron UNA VACCO）,大阪府 大阪市北区 大淀中 2-4-12 パナッシュコート梅田北 1F,050-5869-5402,http://tesoron.com ,https://tabelog.com/osaka/A2701/A270108/27045748/
北海道海鮮にほんいち 福島店,大阪府 大阪市福島区 福島 5-11-2,050-5590-3736,https://shop.ni-290.co.jp/stores/8,https://tabelog.com/osaka/A2701/A270108/27089887/
志な乃亭 野田阪神店（しなのてい）,大阪府 大阪市福島区 大開 1-14-19,050-5456-2538,https://shinanotei.shinanotei.jp/nodahanshin/,https://tabelog.com/osaka/A2701/A270108/27005737/
TEPPAN GRILL Grillia（テッパン グリル グリリア）,大阪府 大阪市福島区 福島 5-10-4 玉井ビル 1F,050-5590-7162,https://teppan-grill-grillia.com/,https://tabelog.com/osaka/A2701/A270108/27074723/
龍徳翅（リュウトクシ）,大阪府 大阪市福島区 福島 5-7-22,050-5872-5818,http://ryuutokushi.com,https://tabelog.com/osaka/A2701/A270108/27121276/
ふくみ屋焼肉 玉川店,大阪府 大阪市福島区 吉野 2-1-17 1F,050-5590-3101,https://fukumiya-2938.com/,https://tabelog.com/osaka/A2701/A270108/27120213/
THE RAY(リーガロイヤルホテル大阪)（ザ レイ）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション アネックス 7F,050-5590-0589,https://www.rihga.co.jp/osaka/restaurant/list/theray,https://tabelog.com/osaka/A2701/A270108/27131838/
焼肉 肉福,大阪府 大阪市福島区 福島 7-4-24,050-5596-4088,https://niku-fuku.jp/,https://tabelog.com/osaka/A2701/A270108/27148284/
和牛焼肉 うのう 福島本店,大阪府 大阪市福島区 福島 2-7-7,050-5456-7417,,https://tabelog.com/osaka/A2701/A270108/27103719/
福島金魚（ふくしまきんぎょ）,大阪府 大阪市福島区 福島 5-10-17,050-5456-9944,https://r-su.co.jp/kingyo.php,https://tabelog.com/osaka/A2701/A270108/27008817/
町屋酒場りとも 野田阪神店,大阪府 大阪市福島区 大開 1-15-24,050-5590-8494,,https://tabelog.com/osaka/A2701/A270108/27091545/
熟成サムギョプサル専門店 温度,大阪府 大阪市福島区 福島 7-5-16 2F,050-5594-9600,,https://tabelog.com/osaka/A2701/A270108/27144956/
IL ALBERTA（イル アルバータ）,大阪府 大阪市福島区 福島 5-6-18,050-5597-4671,http://www.alberta-dining.co.jp/,https://tabelog.com/osaka/A2701/A270108/27011513/
ビストリア 魚タリアン,大阪府 大阪市福島区 福島 7-4-24,06-6455-5885,https://www.eat-quest.com/,https://tabelog.com/osaka/A2701/A270108/27096199/
おお㐂,大阪府 大阪市福島区 福島 1-6-14 1F,050-5596-1232,,https://tabelog.com/osaka/A2701/A270108/27147459/
シェフの居酒屋 魚タリアン,大阪府 大阪市福島区 福島 8-1-41,050-5593-0841,,https://tabelog.com/osaka/A2701/A270108/27140556/
地鶏焼肉 一鳥 福島店,大阪府 大阪市福島区 福島 5-17-41,050-5872-9243,https://icchou-fukushima.com,https://tabelog.com/osaka/A2701/A270108/27122262/
天串と海鮮の店 はれ天,大阪府 大阪市福島区 福島 2丁目4-6,050-5869-5966,,https://tabelog.com/osaka/A2701/A270108/27053331/
和牛焼肉 泰山 大阪福島店,大阪府 大阪市福島区 福島 2-2-2 2F,050-5590-2750,,https://tabelog.com/osaka/A2701/A270108/27132442/
すし屋 蓮太郎,大阪府 大阪市福島区 福島 7-21-7,050-5456-0917,,https://tabelog.com/osaka/A2701/A270108/27113503/
菜の音（ナノネ）,大阪府 大阪市福島区 福島 7-2-6,050-5589-6522,https://nanone-hukushima.com/,https://tabelog.com/osaka/A2701/A270108/27042545/
鮨 竜胆,大阪府 大阪市福島区 福島 2-3-23,050-5600-9158,,https://tabelog.com/osaka/A2701/A270108/27137608/
精肉卸問屋直営焼肉店 牛次郎 福島駅前店,大阪府 大阪市福島区 福島 5-14-12 2F,050-5570-8700,,https://tabelog.com/osaka/A2701/A270108/27124642/
東京竹葉亭 リーガロイヤルホテル店（とうきょうちくようてい）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,050-5872-2186,https://www.chikuyotei.com/rihgaroyalhotel.html,https://tabelog.com/osaka/A2701/A270108/27004461/
四川料理と小吃 奏煖 福島（～カノン～）,大阪府 大阪市福島区 福島 7-7-21 FKビル 1F,050-5594-1833,,https://tabelog.com/osaka/A2701/A270108/27099497/
魚と醸造酒 大阪福島 うお吟,大阪府 大阪市福島区 福島 7-7-9 YUAN 1F,050-5593-5453,,https://tabelog.com/osaka/A2701/A270108/27141815/
гҒЎгӮҠгҒЁгӮҠйҚӢ гғҹгғјгғҲгӮ№гӮҝгғігғүгҒЁгҒЈгҒ·гҒҸ,еӨ§йҳӘеәңеӨ§йҳӘеёӮзҰҸеі¶еҢәзҰҸеі¶8-8-232F,050-5456-3073,,https://tabelog.com/osaka/A2701/A270108/27149545/
マルシェダイニング「ネン」,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神大阪 2F,050-5589-3669,https://www.hankyu-hotel.com/hotel/hanshin/index.html,https://tabelog.com/osaka/A2701/A270108/27014213/
居酒屋 ぢゃりっぱげ,大阪府 大阪市福島区 福島 7-11-51 福ろうじ商店街北川42号 １F,050-5456-6019,,https://tabelog.com/osaka/A2701/A270108/27149246/
鮨 沁みる,大阪府 大阪市福島区 福島 1-2-37,050-5890-9058,,https://tabelog.com/osaka/A2701/A270108/27128681/
魚タリアン YO,大阪府 大阪市福島区 福島 7-5-2,06-6455-7776,https://www.eat-quest.com/,https://tabelog.com/osaka/A2701/A270108/27074766/
一切れ焼肉 一穂 福島店（【旧店名】立食焼肉 一穂）,大阪府 大阪市福島区 福島 5-11-17,050-5595-0747,,https://tabelog.com/osaka/A2701/A270108/27086419/
肴酒堂 みはや,大阪府 大阪市福島区 福島 2-8-10,050-5456-5379,,https://tabelog.com/osaka/A2701/A270108/27149943/
寿しよし,大阪府 大阪市福島区 福島 5-11-6,050-5597-7258,http://www.sushiyoshi.jp/,https://tabelog.com/osaka/A2701/A270108/27006523/
はち福,大阪府 大阪市福島区 福島 2-9-1 アヤ福島ビル 1F,050-5590-2623,,https://tabelog.com/osaka/A2701/A270108/27129373/
蕎麦酒房 ふくまる,大阪府 大阪市福島区 福島 5-18-25 ホテル阪神アネックス 1F,050-5597-2998,https://www.cfs-japan.com/brands/fukumaru/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27110637/
酒と肴と旨いもん 笑緒一（わっしょい）,大阪府 大阪市福島区 福島 6-14-9 出水ビル 2F,050-5594-0398,,https://tabelog.com/osaka/A2701/A270108/27096253/
大衆ビストロ うらきんぎょ,大阪府 大阪市福島区 福島 2-8-15,050-5595-9812,,https://tabelog.com/osaka/A2701/A270108/27105949/
福島応援団勝男,大阪府 大阪市福島区 福島 7-2-10,050-5596-3390,http://www.nplanning.jp/,https://tabelog.com/osaka/A2701/A270108/27071182/
福島呑場ヒンジ,大阪府 大阪市福島区 福島 7-1-6 1F,06-6225-8234,https://lit.link/10chu89,https://tabelog.com/osaka/A2701/A270108/27128656/
鶏料理 pao,大阪府 大阪市福島区 福島 7-7-7,050-5596-8672,,https://tabelog.com/osaka/A2701/A270108/27106373/
Korean Dining コッテジ 福島店,大阪府 大阪市福島区 福島 8-1‐1,050-5595-5118,,https://tabelog.com/osaka/A2701/A270108/27145909/
焼肉やまかん亭 福島店,大阪府 大阪市福島区 福島 1-4-4 セントラル70 1F,050-5594-6669,https://yamakantei.com/,https://tabelog.com/osaka/A2701/A270108/27144181/
肉和食 月火水木金土日（ニクワショク ゲツカスイモクキンドニチ）,大阪府 大阪市福島区 福島 7-1-7,050-5600-8077,https://www.opefac.com/restaurant/7dasys/,https://tabelog.com/osaka/A2701/A270108/27103990/
炉端食堂 すすむ,大阪府 大阪市福島区 玉川 3-2-12,050-5590-2596,,https://tabelog.com/osaka/A2701/A270108/27120912/
鮨げん家 福島本店,大阪府 大阪市福島区 福島 1-7-13 あさひビル1F,050-5571-9822,https://sushi-genya.co.jp/,https://tabelog.com/osaka/A2701/A270108/27044597/
肉屋 金星 福島店,大阪府 大阪市福島区 福島 5-9-11,050-5596-5438,https://booking.resty.jp/webrsv/vacant/s014023502/14453?isfixshop=true,https://tabelog.com/osaka/A2701/A270108/27150655/
ぐるり 福島本店,大阪府 大阪市福島区 福島 2-3-23 中之島MSビル 1F,050-5592-6363,https://lin.ee/S7Tx09D,https://tabelog.com/osaka/A2701/A270108/27085477/
焼肉 福島 安兵衛,大阪府 大阪市福島区 福島 8-8-21,050-5595-7844,https://www.yakiniku-yasubee.com/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27084114/
壱屋 福島店（イチオク）,大阪府 大阪市福島区 福島 7-11-52,050-5890-9641,http://sauce-co.com/,https://tabelog.com/osaka/A2701/A270108/27016744/
ベアフット カリー リンクス梅田店（barefoot curry）,大阪府 大阪市北区 大深町 1-1 リンクス梅田 8F,050-5592-3721,https://www.barefoot.jp,https://tabelog.com/osaka/A2701/A270108/27138591/
ハチマル蒲鉾,大阪府 大阪市福島区 福島 5-6-13,050-5592-8180,,https://tabelog.com/osaka/A2701/A270108/27107218/
焼肉ソムリエ 萬樹亭 福島店（焼肉ソムリエ®マンジュテイ）,大阪府 大阪市福島区 福島 2-1-41 ブリーズコート 2F,06-6455-8008,,https://tabelog.com/osaka/A2701/A270108/27088713/
炭や肴や はん蔵,大阪府 大阪市福島区 福島 7-7-19,06-7163-9947,,https://tabelog.com/osaka/A2701/A270108/27078004/
活魚と旨い肉 わが家,大阪府 大阪市福島区 福島 5-11-20,050-5596-8767,,https://tabelog.com/osaka/A2701/A270108/27087538/
る主水 福島店（るもんど）,大阪府 大阪市福島区 福島 6-4-10 ウエストビル 1F,050-5457-1147,https://lemonde1.com/menu/menu3/,https://tabelog.com/osaka/A2701/A270108/27006277/
焼肉ホルモンゆうや（【旧店名】焼肉いっしゃん）,大阪府 大阪市福島区 大開 1-15-30 グレートアドバンス 1F,050-5593-9144,,https://tabelog.com/osaka/A2701/A270108/27105548/
炭焼と釜めし ながしま,大阪府 大阪市福島区 福島 2-7-13 1F,050-5593-0845,,https://tabelog.com/osaka/A2701/A270108/27140626/
串カツ・もつ鍋・かすうどん しゃかりき432” 新福島店（しゃかりきしみず）,大阪府 大阪市福島区 福島 3-6-15,050-5456-4800,https://knockeat.com/fukushima.html,https://tabelog.com/osaka/A2701/A270108/27005899/
多幸屋4組（タコヤヨンクミ）,大阪府 大阪市福島区 福島 5-8-11 2F,050-5600-4110,,https://tabelog.com/osaka/A2701/A270108/27135258/
DAIDOKORO（ダイドコロ）,大阪府 大阪市福島区 福島 8-14-12,050-5595-5229,https://daidokoro-teppan.jp,https://tabelog.com/osaka/A2701/A270108/27101936/
Artisan（アルティザン）,大阪府 大阪市福島区 福島 2-2-17 pogo haus 2F,050-5589-7137,https://artisan-osaka-paris.com/,https://tabelog.com/osaka/A2701/A270108/27124332/
日本酒酒場 福島スイッチ,大阪府 大阪市福島区 福島 5-11-6,050-5589-0351,https://r-su.co.jp/switch.php,https://tabelog.com/osaka/A2701/A270108/27008966/
鮨工房 ながまさ,大阪府 大阪市福島区 福島 5-9-15 正和ビル 1F,050-5872-3395,https://lit.link/SushiNagamasa,https://tabelog.com/osaka/A2701/A270108/27120972/
鉄板焼とワイン COCOLO 福島店,大阪府 大阪市福島区 福島 5-8-16,050-5869-0210,,https://tabelog.com/osaka/A2701/A270108/27056122/
野菜とお鍋と揚げもんと とまり木432”,大阪府 大阪市福島区 福島 2-6-8,050-5596-4513,https://knockeat.com/tomarigi.html,https://tabelog.com/osaka/A2701/A270108/27107019/
和牛寿司 あすか座 大阪福島,大阪府 大阪市福島区 福島 2-10-12 Aura Locus 1F,050-5595-3460,https://wagyusushi-asukaza.com/,https://tabelog.com/osaka/A2701/A270108/27145073/
小皿が主役 Oshiri yes（オシリ イエス）,大阪府 大阪市福島区 福島 2-4-14,06-4796-0833,,https://tabelog.com/osaka/A2701/A270108/27014176/
鮨 てんしょう,大阪府 大阪市福島区 福島 1-6-20 1F,050-5872-3778,,https://tabelog.com/osaka/A2701/A270108/27120614/
FUKUSHIMA GENYA（福島ゲンヤ）,大阪府 大阪市福島区 福島 5-13-3,050-5594-1863,,https://tabelog.com/osaka/A2701/A270108/27136658/
海老炉端 orb 福島（【旧店名】活海老バル orb）,大阪府 大阪市福島区 福島 5-12-14,050-5600-4532,https://orb-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27062431/
MAMMA PARMA  大阪福島店（マンマ パルマ）,大阪府 大阪市福島区 福島 5-11-9,050-5595-1707,,https://tabelog.com/osaka/A2701/A270108/27101697/
手料理 右近,大阪府 大阪市福島区 福島 8-14-13,050-5594-7583,,https://tabelog.com/osaka/A2701/A270108/27001189/
ボーノボーノ（Buono Buono）,大阪府 大阪市福島区 福島 7-6-23 日の出ビル 2F,050-5868-9303,,https://tabelog.com/osaka/A2701/A270108/27074702/
夢街堂,大阪府 大阪市福島区 福島 7-5-13,050-5456-8180,,https://tabelog.com/osaka/A2701/A270108/27030288/
焼き鳥 小松,大阪府 大阪市福島区 福島 4-2-65,050-5590-6962,,https://tabelog.com/osaka/A2701/A270108/27138289/
墨国回転鶏料理 福島店,大阪府 大阪市福島区 福島 7-2-6,050-5868-5069,http://www.querico.jp/,https://tabelog.com/osaka/A2701/A270108/27042259/
だるま焼売 福島店,大阪府 大阪市福島区 福島 5-14-12 稲垣プラザ2 1F,050-5872-7880,https://darumashumai-fukushima.com,https://tabelog.com/osaka/A2701/A270108/27128394/
十月二日,大阪府 大阪市福島区 鷺洲 2-11-1,050-8884-8094,,https://tabelog.com/osaka/A2701/A270108/27132159/
鮨 豊,大阪府 大阪市福島区 福島 3-5-19 N3フクシマ 4F,050-5592-3836,https://lin.ee/TGW9QtU,https://tabelog.com/osaka/A2701/A270108/27139331/
casa grande（カーサグランデ）,大阪府 大阪市福島区 福島 7-7-10 グレイス福島 2F,050-5868-1273,,https://tabelog.com/osaka/A2701/A270108/27119563/
鮨 はま岡,大阪府 大阪市福島区 福島 3-14-4 1F,050-5456-1542,,https://tabelog.com/osaka/A2701/A270108/27148747/
黒猫 福島本店,大阪府 大阪市福島区 福島 1-2-37 ロイヤルハイツ丹後 101,050-5869-3263,,https://tabelog.com/osaka/A2701/A270108/27072997/
tsubakiya,大阪府 大阪市福島区 鷺洲 5-6-63,050-5596-1417,,https://tabelog.com/osaka/A2701/A270108/27106510/
呑達磨,大阪府 大阪市福島区 福島 2-1-41,050-5593-1172,,https://tabelog.com/osaka/A2701/A270108/27140773/
お好み焼き 頂（ITADAKI）,大阪府 大阪市福島区 福島 2-2-11,050-5456-7534,,https://tabelog.com/osaka/A2701/A270108/27115947/
大衆イタリアン ブドウヤ 福島店,大阪府 大阪市福島区 福島 2-8-11,050-5590-3249,,https://tabelog.com/osaka/A2701/A270108/27123037/
とり焼 かん美,大阪府 大阪市北区 堂島 3-2-21 伊藤ビル,050-5594-4186,,https://tabelog.com/osaka/A2701/A270108/27076198/
