取得日時,取得URL,名称,住所,設立,代表者,事業内容,資本金,従業員数
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9500,株式会社総商,東京都千代田区神田佐久間町3-38大陽ビル307,,茂木昇二,家賃保証業務,2000万円,15人
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9501,有限会社イーデザインショップ,福岡県糸島市前原北4丁目8-14北側2F,1995年,諸藤英児,インターネット付随サービス業 専門サービス業,400万円,
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9502,グリーンエンジニアリング株式会社,東京都港区新橋1-18-12新橋一丁目ビル6階,2013年,伊藤進一,太陽光発電システム（住宅用・産業用）、オール電化製品の販売、施工 オーストラリアで2009年に設立し太陽光パネルを広めているGREEN ENGINEERING PTY.LTD.の日本法人。日本国内でも法人・個人向け太陽光発電システムの営業、販売をしています。,500万円,6人
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9503,合同会社ペコアス,東京都豊島区西巣鴨3-1-12アーデル大塚Cスクエア405,2012年,長谷部幸一,ペットコミニュティポータルサイトPECOASの運営,300万円,5人
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9504,株式会社エスネッツ,東京都新宿区西新宿6-26-12ITOビル4F,2007年,薛 仁興,LED照明 http://www.s-nets.co.jp/pdf/a_13.pdf イニシャルコスト【無し】期間の縛り【無し】レンタル費用【電気料金の削減範囲内】 既存の電気代が最大８分の１に！下がった電気代の中でレンタル代金をお支払い。ラインナップも豊富ですので他社で断られた電球もお任せください。 食用油改質触媒[オイルファイン] http://www.s-nets.co.jp/pdf/a_20.pdf ・コスト削減：フライオイルの使用量が最大半分になります。特許技術でフライオイルの分子をナノ化。イオンの力で劣化を防ぎフライオイルを長持ちさせます。 ・使用方法が簡単：電気も使わず、フライヤーに入れておくだけの簡単設計です。調理場での負担が無いので面倒な手間がありません。 ・廃油も軽減：フライオイルの使用量が減る分、廃油も減ります。環境への配慮および廃棄コストも削減できます。,4500万円,
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9505,株式会社エスネッツ,東京都新宿区西新宿6-26-12ITOビル4F,2007年,薛 仁興,LED照明 http://www.s-nets.co.jp/pdf/a_13.pdf イニシャルコスト【無し】期間の縛り【無し】レンタル費用【電気料金の削減範囲内】 既存の電気代が最大８分の１に！下がった電気代の中でレンタル代金をお支払い。ラインナップも豊富ですので他社で断られた電球もお任せください。 食用油改質触媒[オイルファイン] http://www.s-nets.co.jp/pdf/a_20.pdf ・コスト削減：フライオイルの使用量が最大半分になります。特許技術でフライオイルの分子をナノ化。イオンの力で劣化を防ぎフライオイルを長持ちさせます。 ・使用方法が簡単：電気も使わず、フライヤーに入れておくだけの簡単設計です。調理場での負担が無いので面倒な手間がありません。 ・廃油も軽減：フライオイルの使用量が減る分、廃油も減ります。環境への配慮および廃棄コストも削減できます。,4500万円,
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9506,ハイタッチ・マーケティング有限責任事業組合,東京都新宿区新宿１－３６－２新宿第七葉山ビル３F,,,,,
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9508,株式会社WEBマーケティング総合研究所,東京都新宿区西新宿3-2-4新和ビル10F,2002年,吉本俊宏,,,
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9509,株式会社ＮＪＣ,東京都中央区晴海5-1-9,,,外国人技能実習生材紹介に付随して、ベトナム・中国サポート、保険申請工事などを提供 外国人人材紹介や外国人雇用を考えている方もお問い合わせください。,,
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9510,株式会社絆コンサルティング,東京都新宿区新宿6-24-20KDX新宿6丁目ビル ９F,2008年,伊藤,通信事業,1000万円,50人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9511,株式会社ファンシーフラワー工房,埼玉県さいたま市岩槻区本町2-1-27,1987年,小林壮平,1.工芸の製造販売 2.造花の製造販売 3.ストラップの製造販売 4.ワイヤー加工品の製造販売 5.加盟店の品揃えの指導とこれに伴う必需商品の仕入ルートの斡旋 6.上記各号に附帯する一切の業務,1000万円,2人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9512,株式会社ライクス,東京都豊島区池袋2-40-13240池袋ビル8F,2014年,渡辺大介,通信・ネットワーク／コンサルタント／コールセンター 仲介／情報提供サービス／ウォーターサーバー アライアンス/販売代理店,500万円,56人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9513,株式会社B.R.Japan,東京都中央区日本橋中洲5-10 第16シグマビルディング日本橋 2階,2013年,宇田川富大,不動産仲介事業 不動産コンサルティング事業 不動産管理業,300万円,6人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9514,株式会社ナイトウォーク,群馬県高崎市問屋町西1-8-1高崎朝日第二ビル501,,,新サービス1009ch(トークチャンネル)のオープニングスタッフ大募集！！ あなたのコミュニケーション力で悩みを持つ方たちの相談役になってください！！ 現在インターネット上では占いや霊感で他人にアドバイスをするサイトが多数を占めますが、当社はそれだけではなく自分の経験で人の話を聞いてあげたり、アドバイスをしてあげる、まるで恋人の様に接してあげる。それを電話を通して行うと言うものです。,,
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9515,株式会社マネージメントアドバイザーズ,大阪府大阪市北区天神橋2-5-3第五新興ビル,2000年,中嶋誠,・代理店管理業務 ・各種コンサル事業 ・個人・法人代理営業 ・イベント関連事業 ・天然石・販売・卸 ・仕入れ代行業務 ・オークション代行業務 ・貿易実務代行 ・コンサルタント業務 ・各種業務の人材派遣 ・輸入ブランド販売 ・情報商材販売 ・介護関連事業,100万円,10人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9516,株式会社マネージメントアドバイザーズ,大阪府大阪市北区天神橋2-5-3第五新興ビル,2000年,中嶋誠,・代理店管理業務 ・各種コンサル事業 ・個人・法人代理営業 ・イベント関連事業 ・天然石・販売・卸 ・仕入れ代行業務 ・オークション代行業務 ・貿易実務代行 ・コンサルタント業務 ・各種業務の人材派遣 ・輸入ブランド販売 ・情報商材販売 ・介護関連事業,100万円,10人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9517,株式会社エバーリンク・アセット・パートナーズ,福岡県福岡市中央区荒戸2-3-9-1203シティオ大濠,2006年,石塚 博,株価データ情報サービス 弊社開発のオリジナル株価解析ソフト”ドリームキャッチャー”発売元 製品のサポート・顧客アフターフォローの為のサロン運営及び株式実践講座の運営 全国にサロン運営者の総代理店の開発,1082万円,1人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9519,株式会社ペース・エレクトロニクス・グループ,神奈川県横浜市金沢区六浦南2-3-3サフィール２Ｆ,1979年,奥平 由紀子,建設・住宅設備商品 電気式極薄シートヒーターの輸入、製造、設計、部材販売、販売、施工、保守。 【暖どりーむ】は、弊社床暖房システムの総称になります。 電気式極薄シートヒーターの為、床暖房以外での施工実績もございます。 弊社施工実績：新築戸建住宅、リフォーム戸建住宅、リノベーション戸建住宅、新築マンション一棟、新築マンション一室、マンションリフォーム、マンションリノベーション、保育園、幼稚園、飲食店、オフィスビル、オフィス一室、店舗、神社、寺院、ケアホーム等様々ございます。,1000万円,5人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9520,株式会社POLA-RIS,埼玉県川口市戸塚東3-37-14,2012年,鈴木 悠生,ビジネスマッチング事業 情報通信事業 総合コンサルティング業務 WEBサービスの企画・開発・運用,500万円,3人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9521,株式会社アクレット,兵庫県神戸市中央区中山手通1-21-13パールコーポラス2F,2008年,坪田 寛志,ホームページ制作 CMS導入（Drupal・Wordpress等） アプリ開発 Web/DTPデザイン Webコンサルティング 自社サイト運営 業務システム構築 データ入力・データ収集 等,,
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9522,株式会社プロデュースラボ,愛知県名古屋市中区大須4-1-18セイジョウビル5階,3年,澤村玲子,AR広告 ドキュメンタリー映画製作・配給,1000万円,2人
2025/11/05 12:01:03,https://dairitenboshu.com/syo/9523,株式会社インターネットプロデュース,東京都杉並区西荻北1-2-11,2002年,松井秀人,WEBシステム構築 WEBシステムの更新、運営、管理支援 WEBコンサルティング,250万円,
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9524,株式会社トラスト・Ｄ・クリエイト,大阪府大阪市中央区南船場2-10-30豊城ビル7Ｆ,2015年,中山 力,コールセンター テレマーケティング テレフォンアポインター,100万円,15人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9525,ゴールドパンチ普及会,東京都新宿区百人町1-22-7-404,2015年,冨田浩二,「オイルをかえないが、未来をかえる！！」 未来の子供たちのためにもゴールドパンチα3000を全国に普及する。,,2人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9526,株式会社エヌティコーブン,東京都八王子市初沢町１２２７－４,1987年,岩崎 勉,健康食品の開発及び製造、販売,1000万円,10人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9527,合同会社ニクール,兵庫県伊丹市北伊丹8-10-6アクトステージ伊丹230,2013年,蘭義隆,グラフィックデザイン、ウェブデザイン、映像制作、ウェブマーケティング、ウェブシステム開発,100万円,3人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9528,株式会社ウェルトップ,福岡県福岡市城南区樋井川5-36-45,2011年,,・スマートフォンアプリ企画・販売 ・Eコマースサイト運営 ・印刷物デザイン ・動画制作 ・ホームページ制作,"1,000万円",
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9529,株式会社Dixi,愛知県名古屋市中区大須4-3-40ARK Zone 7F,2014年,坂部真也,コンシューマ・オフィス向け営業,50万円,20人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9530,LagnaDesign,北海道札幌市豊平区月寒東一条1５丁目３−１５−１０１,2014年,,,,2人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9531,株式会社Dixi,愛知県名古屋市中区大須4-3-40ARK Zone 7F,2014年,坂部真也,コンシューマ・オフィス向け営業,50万円,20人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9532,合同会社ADX,埼玉県久喜市久喜東1-6-37エマーユ久喜5,2010年,安藤大介,当社は多様な業種を取り揃えております。主に4月より始まる自由化に伴う電気供給・プロパンなどのガスの代理店セット販売、IT通信切り替え営業など、または最低報酬のある内装作業員などで、とにかく人一倍稼ぎたいやる気のある方を募集しています。主に営業マン、とにかく他人よりも稼ぎたい独立したいやる気に満たされた方を求めています。毎月100万円以上稼ぐ方が殆どです。 そのノウハウやマネジメントを半年以内で研修して行きます。 半年間最低報酬20万円以上(毎月必ず実績が上がりますので誰でも1万ずつ昇給) 最短半年で独立出来ます。 寮完備・実績に応じた賞与・社会保険完備 上限ないので初月から100万以上稼ぐ方も沢山いらっしゃいます。 埼玉県久喜市東1-6-37エマーユ久喜5 合同会社ADX 代表 安藤 08030971017まで 勤務先関東一円あります。,500万円,30人
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9533,シュレッダーオフィスサービス株式会社,東京都千代田区平河町1-8-2山京半蔵門パレス803,,浅見慎太郎,シュレッダーの修理／販売等,,
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9534,Future Sky,福岡県福岡市東区箱崎ふ頭３丁目1－15,2015年,,インターネット事業 販売代理店,,
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9535,Portaljapa正規代理店,東京都渋谷区幡ヶ谷3-52-4,2015年,渡邉定紀,代理店の開拓、ポータルサイトの販売、ポータルサイトの運営、広告代理店事業,,
2025/11/05 12:01:04,https://dairitenboshu.com/syo/9536,株式会社トリニアス,東京都新宿区大久保2-4-15サンライズ新宿ビル5階,2012年,山口慎一郎,大手通信商材の販売代理店業をメインとしています。コールセンターの規模としては100ブースあり、これからコールセンターの立ち上げをしたい会社様に対して立ち上げ支援や、インターネット回線とセットで販売できるオプションサービスの運営も行っております。,1000万円,70人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9537,株式会社IREAF,千葉県船橋市湊町2-1-2Y.M.Aofficeビル3F,2014年,井上泰伸,・Googleストリートビュー屋内版サービス、Googleインドアビューのご提案営業・撮影・制作業務,1200万円,30人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9538,E-spacio LLC,東京都港区南青山2-11-13南青山ビル４F,2008年,大里孝文,モデル事務所 イベント企画運営,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9539,株式会社インターネットプロデュース,東京都杉並区西荻北1-2-11,2002年,松井秀人,WEBシステム構築 WEBシステムの更新、運営、管理支援 WEBコンサルティング,250万円,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9540,メモリーコードジャパン株式会社,福岡県福岡市中央区天神4-8-25オフィスニューガイアNIKKO天神4F,2009年,山本 鉄也,,3330万円,
2025/11/05 12:01:06,https://dairitenboshu.com/syo/9541,JMSシステム,福岡県北九州市小倉北区京町青木ビル,2011年,谷口奈美,飲食店向け日報経理システム「アットコスト」の開発、販売,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9543,株式会社スリーピース,東京都中央区銀座8-16-5 ６F銀座中央ビル６F,2010年,堤 信弘,広告代理業又は広告業 電気通信業に基づく通信回線利用加入者の募集及び利用権の販売促進に関する業務 飲食店の経営、企画及び経営コンサルティング インターネット等のNetworkシステムを利用した通信販売業 インターネット上のショッピングモールの企画、開設、運用及びそれらのノウハウの提供 インターネットメディア事業 コールセンター業務 上記各号に付帯する一切の事業,900万円,3人
2025/11/05 12:01:06,https://dairitenboshu.com/syo/9544,株式会社ベネフィット－イオン,福井県福井市つくし野2‐106,2015年,上原幹也,洗濯用洗剤・消臭剤を製造販売しています。また個人の体臭を科学的に検査し、体臭ケアのアドバイス及びカスタマイズされた洗濯洗剤をコアなユーザーに提供しています。 今年3月に汎用品である「体臭のタイプ別洗濯洗剤DSシリーズ8種類」の販売を始めたので、代理店を募集したいと思います。特許申請中のアイテムです。 代理店は個人・法人問いません。 仕入れして頂いて販売して頂くという形で、自己資金なし少額仕入れで開始して頂けます。,200万円,4人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9545,株式会社TETOTE,福岡県福岡市中央区大名2-4-38チサンマンション天神3 909,2015年,藤田信一,web製作事業 集客コンサルティング事業 イベント企画運営 天神西通り街メディア運営 テレビ制作事業 モデル事業,300万円,5人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9546,体によい水を考える会（有限会社アシスト）,静岡県浜松市南区三和町225,2000年,寺田秀勝,"【体によい水を考える会 】 高濃度ミネラル水サーバー（Dream21,CMWⅡ）の販売 災害時用浄水剤（エコラールマックス）の販売 いつでもどこでもミネラル水（サンゴパック）の販売 炊飯、煮物、揚げ物用サンゴ粉末剤（海の粉）の販売",300万円,5人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9547,一般社団法人 生活支援事業振興会,東京都港区浜松町２－２－１５ダイヤビル２階,1989年,,人、物、場所、空間、なんでもプロデュース 独立・起業から既存事業について幅広く対応できます。 Google&Yahoo! 検索１位 ■事業の考案・企画・構成・実施・実行すべて ■独立・起業・開業について全般の請負 ■フランチャイズ・代理店の相談から実施 ■営業代行・宣伝広告の制作から代行 ■資金・投資・融資についての相談と実施 などなど、、、ビジネスに関することなら何でも！ お気軽にご相談下さい。,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9548,上海乙同机电科技有限公司,東京都上海市普陀区靖边路199弄-26-1204陽光威尼斯,2009年,,モーターの製造販売 オーダーメイドも可能です。,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9549,株式会社フルサポートグループ,鹿児島県鹿児島市樋之口町3-21ウエストパーク１F,,内田幸太,WEB事業,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9550,商研テクノ株式会社,広島県広島市西区井口5-1-9,,,,,
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9551,有限会社 エコテック,東京都葛飾区青戸1-7-3クサカベパールマンション3-B,2004年,笹崎 和子,主にエコ関連(省エネシステム)の商材を扱っております。 新たな分野での商材として、特殊な発電機を主力商品としております。 モーター等の省エネや新電力(PPS)も行っており、エコ関連の商材を多岐に渡り御提案が可能です。,300万円,5人
2025/11/05 12:01:05,https://dairitenboshu.com/syo/9552,日本生涯学習協会有限責任事業組合,大阪府大阪市淀川区西中島４丁目１０－４オクムラビル７階,,,,,
2025/11/05 12:01:06,https://dairitenboshu.com/syo/9553,合同会社ＳＤＣ,東京都品川区南大井3-16-1-9F,2016年,佐藤健次,求人広告代理業,,
